"TIME","U1(OUT1)","U1(OUT2)","U1(OUT3)","U1(OUT4)","U1(OUT5)","U1(OUT6)","U1(OUT7)","U1(OUT8)"
0,"SLO","SLO","SLO","SLO","SLO","SLO","SLO","SLO"
5.01e-005,"SHI","SHI","SLO","SHI","SHI","SLO","SLO","SHI"
0.00010088125,"SLO","SLO","SLO","SLO","SLO","SHI","SLO","SHI"
0.0001516625,"SLO","SLO","SLO","SLO","SHI","SLO","SHI","SLO"
0.00020244375,"SLO","SLO","SLO","SHI","SLO","SLO","SLO","SLO"
0.000253225,"SLO","SLO","SLO","SHI","SLO","SHI","SLO","SHI"
0.00030400625,"SLO","SLO","SLO","SHI","SHI","SLO","SHI","SLO"
0.0003547875,"SLO","SLO","SLO","SHI","SHI","SHI","SHI","SHI"
0.00040556875,"SLO","SLO","SHI","SLO","SLO","SHI","SLO","SLO"
0.00045635,"SLO","SLO","SHI","SLO","SHI","SLO","SLO","SHI"
0.00050713125,"SLO","SLO","SHI","SLO","SHI","SHI","SHI","SLO"
0.0005579125,"SLO","SLO","SHI","SHI","SLO","SLO","SHI","SHI"
0.00060869375,"SLO","SLO","SHI","SHI","SHI","SLO","SLO","SLO"
0.000659475,"SLO","SLO","SHI","SHI","SHI","SHI","SLO","SHI"
0.00071025625,"SLO","SHI","SLO","SLO","SLO","SLO","SHI","SLO"
0.0007610375,"SLO","SHI","SLO","SLO","SLO","SHI","SHI","SHI"
0.00081181875,"SLO","SHI","SLO","SLO","SHI","SHI","SLO","SLO"
0.0008626,"SLO","SHI","SLO","SHI","SLO","SLO","SLO","SHI"
0.00091338125,"SLO","SHI","SLO","SHI","SLO","SHI","SHI","SLO"
0.0009641625,"SLO","SHI","SLO","SHI","SHI","SLO","SHI","SLO"
0.00101494375,"SLO","SHI","SLO","SHI","SHI","SHI","SHI","SHI"
0.001065725,"SLO","SHI","SHI","SLO","SLO","SHI","SLO","SLO"
0.00111650625,"SLO","SHI","SHI","SLO","SHI","SLO","SLO","SHI"
0.0011672875,"SLO","SHI","SHI","SLO","SHI","SHI","SHI","SLO"
0.00121806875,"SLO","SHI","SHI","SHI","SLO","SLO","SHI","SHI"
0.00126885,"SLO","SHI","SHI","SHI","SHI","SLO","SLO","SLO"
0.00131963125,"SLO","SHI","SHI","SHI","SHI","SHI","SLO","SLO"
0.0013704125,"SHI","SLO","SLO","SLO","SLO","SLO","SLO","SHI"
0.00142119375,"SHI","SLO","SLO","SLO","SLO","SHI","SHI","SLO"
0.001471975,"SHI","SLO","SLO","SLO","SHI","SLO","SHI","SHI"
0.00152275625,"SHI","SLO","SLO","SHI","SLO","SLO","SLO","SLO"
0.0015735375,"SHI","SLO","SLO","SHI","SLO","SHI","SLO","SLO"
0.00162431875,"SHI","SLO","SLO","SHI","SHI","SLO","SLO","SHI"
0.0016751,"SHI","SLO","SLO","SHI","SHI","SHI","SHI","SLO"
0.00172588125,"SHI","SLO","SHI","SLO","SLO","SLO","SHI","SHI"
0.0017766625,"SHI","SLO","SHI","SLO","SLO","SHI","SHI","SHI"
0.00182744375,"SHI","SLO","SHI","SLO","SHI","SHI","SLO","SLO"
0.001878225,"SHI","SLO","SHI","SHI","SLO","SLO","SLO","SHI"
0.00192900625,"SHI","SLO","SHI","SHI","SLO","SHI","SLO","SHI"
0.0019797875,"SHI","SLO","SHI","SHI","SHI","SLO","SHI","SLO"
0.00203056875,"SHI","SLO","SHI","SHI","SHI","SHI","SHI","SHI"
0.00208135,"SHI","SHI","SLO","SLO","SLO","SLO","SHI","SHI"
0.00213213125,"SHI","SHI","SLO","SLO","SHI","SLO","SLO","SLO"
0.0021829125,"SHI","SHI","SLO","SLO","SHI","SHI","SLO","SLO"
0.00223369375,"SHI","SHI","SLO","SHI","SLO","SLO","SLO","SHI"
0.002284475,"SHI","SHI","SLO","SHI","SLO","SHI","SHI","SLO"
0.00233525625,"SHI","SHI","SLO","SHI","SHI","SLO","SHI","SLO"
0.0023860375,"SHI","SHI","SLO","SHI","SHI","SHI","SHI","SHI"
0.00243681875,"SHI","SHI","SHI","SLO","SLO","SLO","SHI","SHI"
0.0024876,"SHI","SHI","SHI","SLO","SHI","SLO","SLO","SLO"
0.00253838125,"SHI","SHI","SHI","SLO","SHI","SHI","SLO","SLO"
0.0025891625,"SHI","SHI","SHI","SHI","SLO","SLO","SLO","SHI"
0.00263994375,"SHI","SHI","SHI","SHI","SLO","SHI","SLO","SHI"
0.002690725,"SHI","SHI","SHI","SHI","SHI","SLO","SHI","SLO"
0.00274150625,"SHI","SHI","SHI","SHI","SHI","SHI","SHI","SLO"
0.0027922875,"SLO","SLO","SLO","SLO","SLO","SLO","SHI","SLO"
0.00284306875,"SLO","SLO","SLO","SLO","SLO","SHI","SHI","SHI"
0.00289385,"SLO","SLO","SLO","SLO","SHI","SHI","SLO","SLO"
0.00294463125,"SLO","SLO","SLO","SHI","SLO","SLO","SLO","SHI"
0.0029954125,"SLO","SLO","SLO","SHI","SLO","SHI","SHI","SLO"
0.00304619375,"SLO","SLO","SLO","SHI","SHI","SLO","SHI","SHI"
0.003096975,"SLO","SLO","SHI","SLO","SLO","SLO","SLO","SLO"
0.00314775625,"SLO","SLO","SHI","SLO","SLO","SHI","SLO","SHI"
0.0031985375,"SLO","SLO","SHI","SLO","SHI","SLO","SHI","SLO"
